"data_type","data_class","data_subclass","level","default_storage","data_format","data_unit","suggested_import_rule","validation","short_desc","detail","implemented","examples"
"number","","","type","double","(-Inf,Inf).*","","as_number","parses as numeric ;; finite values","Numeric values you can do arithmetic on.","The reader-level number family. Format = <symbols>[range].precision: symbols to strip/expect, an interval domain, and decimal precision.","yes","3.14 ;; 42 ;; -7"
"number","quantity","","class","double","(-Inf,Inf).*","","as_number","unit or meaning documented","A measured or counted magnitude (default number class).","The least-restrictive number class: a plain magnitude.","no","72.5 ;; 1000 ;; 3.2"
"number","quantity","count","subclass","integer","[0,Inf).0","","as_number","whole number ;; >= 0","A count of things.","A non-negative whole tally. Interval [0,Inf) with .0 precision (integer).","no","0 ;; 1 ;; 42"
"number","quantity","measurement","subclass","double","(-Inf,Inf).*","unit-specific (kg;;m;;C;;L)","as_number","unit declared ;; plausible range ;; precision","A measured value on a unit scale.","A continuous measurement; unit kept in dd_data_unit.","no","72.5 ;; 98.6 ;; -4.2"
"number","quantity","rate","subclass","double","[0,Inf).*","per capita;;per 1,000;;per year","as_number","denominator & period declared ;; nonnegative where applicable","An amount per unit of exposure or time.","A quantity normalized by a denominator or period.","no","12.4 ;; 0.03"
"number","quantity","ratio","subclass","double","[0,Inf).*","numerator/denominator","as_number","denominator nonzero ;; parsing convention declared","A ratio of two quantities.","Numerator over denominator; denominator nonzero.","no","1.5 ;; 0.75"
"number","quantity","index","subclass","double","(-Inf,Inf).*","index-specific scale","as_number","base-period & directionality documented ;; expected range","A constructed index relative to a base.","A composite indicator with a documented base period.","no","100 ;; 118.2"
"number","quantity","score","subclass","double","[0,Inf).*","scale points","as_number","allowed range ;; permitted increments ;; scale direction","A score on a defined scale.","Points on an instrument or test.","no","85 ;; 4.5"
"number","quantity","rank","subclass","integer","[1,Inf).0","rank position","as_number","positive integer ;; bounded by group size","An ordinal rank position.","Integer position within an ordering.","no","1 ;; 2 ;; 17"
"number","quantity","duration","subclass","double","[0,Inf).*","seconds;;minutes;;hours;;days;;years","as_number","unit declared ;; nonnegative where applicable","An elapsed amount of time as a number.","A length of time as a numeric magnitude; unit in dd_data_unit.","no","3.5 ;; 120"
"number","currency","","class","double","<$,>[0,Inf).2","USD;;EUR","as_currency","numeric after symbol/grouping strip ;; decimal precision","A monetary amount.","Money. as_currency strips symbol/grouping to a number; currency label in dd_data_unit; stable_data_format records usd (kept) vs plain (stripped).","yes","$12.78 ;; 1,234.56 ;; 12.78"
"number","currency","balance","subclass","double","<$,>(-Inf,Inf).2","USD","as_currency","sign allowed ;; accounting reconciliation","A signed account balance.","A monetary balance that may be negative.","no","-45.10 ;; 2300.00"
"number","proportion","","class","double","[0,1].*","","as_number","numeric ;; bounded per convention","A part of a whole, bounded.","A share bounded to a range; subclasses fix the bounds.","no","0.25 ;; 0.5"
"number","proportion","percent","subclass","double","<%>[0,100].*","","as_percent","min 0 ;; max 100","A percentage (0-100).","A proportion on a 0-100 scale; as_percent strips a trailing %.","no","40 ;; 12.5 ;; 40%"
