"data_type","data_class","data_subclass","examples","data_format","raw_to_stable_transform","stable_format","stable_import_rule","data_format_default_type","data_format_default_class","dd_data_unit","short_desc","detail","validation","default_storage","implemented"
"number","quantity","measurement","72.5 ;; 98.6 ;; -4.2","[][-Inf,Inf][.n]","{none}","72.5 ;; 98.6 ;; -4.2","{default:numeric}","{data_type=number:} [^\d.][-Inf,Inf][.n]","{data_class=quantity:} [][-Inf,Inf][.n]","unit-specific (kg;;m;;C;;L)","A measured value on a unit scale.","A continuous measurement; unit kept in dd_data_unit.","unit declared ;; plausible range ;; precision","double","no"
"number","quantity","count","0 ;; 1 ;; 42.00","[][0,Inf][.0]","as_integer","{as_integer} 0 ;; 1 ;; 42","as_integer","{data_type=number:} [^\d.][-Inf,Inf][.n]","{data_class=quantity:} [][-Inf,Inf][.n]","","A count of things.","A non-negative whole tally. Interval [0,Inf] with .0 precision (integer).","whole number ;; >= 0","integer","no"
"number","quantity","rate","12.4 ;; 0.03","[][0,Inf][.n]","{none}","12.4 ;; 0.03","{default:numeric}","{data_type=number:} [^\d.][-Inf,Inf][.n]","{data_class=quantity:} [][-Inf,Inf][.n]","per capita;;per 1,000;;per year","An amount per unit of exposure or time.","A quantity normalized by a denominator or period.","denominator & period declared ;; nonnegative where applicable","double","no"
"number","quantity","ratio","1.5 ;; 0.75","[][0,Inf][.n]","{none}","1.5 ;; 0.75","{default:numeric}","{data_type=number:} [^\d.][-Inf,Inf][.n]","{data_class=quantity:} [][-Inf,Inf][.n]","numerator/denominator","A ratio of two quantities.","Numerator over denominator; denominator nonzero.","denominator nonzero ;; parsing convention declared","double","no"
"number","quantity","duration","3.5 ;; 120","[][0,Inf][.n]","{none}","3.5 ;; 120","{default:numeric}","{data_type=number:} [^\d.][-Inf,Inf][.n]","{data_class=quantity:} [][-Inf,Inf][.n]","seconds;;minutes;;hours;;days;;years","An elapsed amount of time as a number.","A length of time as a numeric magnitude; unit in dd_data_unit.","unit declared ;; nonnegative where applicable","double","no"
"number","quantity","score","85 ;; 4.5","[][0,Inf][.n]","{none}","85 ;; 4.5","{default:numeric}","{data_type=number:} [^\d.][-Inf,Inf][.n]","{data_class=quantity:} [][-Inf,Inf][.n]","scale points","A score on a defined scale.","Points on an instrument or test.","allowed range ;; permitted increments ;; scale direction","double","no"
"number","quantity","index","100 ;; 118.2","[][-Inf,Inf][.n]","{none}","100 ;; 118.2","{default:numeric}","{data_type=number:} [^\d.][-Inf,Inf][.n]","{data_class=quantity:} [][-Inf,Inf][.n]","index-specific scale","A constructed index relative to a base.","A composite indicator with a documented base period.","base-period & directionality documented ;; expected range","double","no"
"number","quantity","rank","1 ;; 2.5 ;; 17","[][1,Inf][.0]","as_rank","{as_rank} 1 ;; 2 ;; 17","as_integer","{data_type=number:} [^\d.][-Inf,Inf][.n]","{data_class=quantity:} [][-Inf,Inf][.n]","rank position","An ordinal rank position.","Integer position within an ordering.","positive integer ;; bounded by group size","integer","no"
"number","currency","balance","2300.00 ;; 1,234 ;; -45.10","[][-Inf,Inf][.2]","as_currency","{as_currency} 2300.00 ;; 1234.00 ;; -45.10","{default:numeric}","{data_type=number:} [^\d.][-Inf,Inf][.n]","{data_class=currency:} [^\d.][-Inf,Inf][.2]","USD","A signed account balance.","A monetary balance that may be negative.","sign allowed ;; accounting reconciliation","double","no"
"number","currency","usd","$-45 ;; $2300.00 ;; 17,298$","[$,][-Inf,Inf][.2]","as_usd","{as_usd} -45.00 ;; 2300.00 ;; 17298.00","{default:numeric}","{data_type=number:} [^\d.][-Inf,Inf][.n]","{data_class=currency:} [^\d.][-Inf,Inf][.2]","USD","A US-dollar amount.","Dollar-denominated money; symbol and grouping stripped to a number.","sign allowed ;; accounting reconciliation","double","no"
"number","currency","euro","2300,00€ ;; € 17.298 ;; -45€","[€.][-Inf,Inf][,2]","as_euro","{as_euro} 2300.00 ;; 17298.00 ;; -45.00","{default:numeric}","{data_type=number:} [^\d.][-Inf,Inf][.n]","{data_class=currency:} [^\d.][-Inf,Inf][.2]","EUR","A euro amount (European format).","Euro money with dot-thousands and comma-decimal; symbol and grouping stripped.","sign allowed ;; accounting reconciliation","double","no"
"number","portion","probability","0.05 ;; 0.5","[][0,1][.n]","{none}","0.05 ;; 0.5","{default:numeric}","{data_type=number:} [^\d.][-Inf,Inf][.n]","{data_class=portion:} [%][0,Inf][.n]","","A probability (0-1).","A likelihood bounded to the unit interval.","min 0 ;; max 1","double","no"
"number","portion","odds","1:5 ;; 8:7","odds_ratio","as_probability","0.1667 ;; 0.5333","{default:numeric}","{data_type=number:} [^\d.][-Inf,Inf][.n]","{data_class=portion:} [%][0,Inf][.n]","","Odds expressed as a ratio.","A ratio of favorable to unfavorable; as_probability converts to a 0-1 probability.","two nonnegative parts ;; converts to 0-1","double","no"
"number","portion","percent","40 ;; 12.5 ;; 40%","[%][0,100][.n]","as_percent","{as_percent} 40 ;; 12.5 ;; 40","{default:numeric}","{data_type=number:} [^\d.][-Inf,Inf][.n]","{data_class=portion:} [%][0,Inf][.n]","","A percentage (0-100).","A proportion on a 0-100 scale; as_percent strips a trailing %.","min 0 ;; max 100","double","no"
"number","portion","percentile","90 ;; 50 ;; 99th","[%a-zA-Z][0,100][.0]","as_number","90 ;; 50 ;; 99","{default:numeric}","{data_type=number:} [^\d.][-Inf,Inf][.n]","{data_class=portion:} [%][0,Inf][.n]","percentile 0-100","A percentile position (0-100).","Rank against a reference population on 0-100; strips ordinal suffixes.","min 0 ;; max 100 ;; population declared","double","no"
"number","range","min_max","1.2, 3.4","lo,hi","as_range","{split}[_lo][_hi]","{default:numeric}","{data_type=number:} [^\d.][-Inf,Inf][.n]","{data_class=range:} [][-Inf,Inf][.n][split=""^\d.""]","same unit as estimate","A low-high numeric pair.","Two numeric bounds in one field; split into _lo and _hi for analysis.","lower <= upper ;; unit consistency","character","no"
"number","range","min_max","20 to 10","hi to lo","as_range","{split}[_lo][_hi]","{default:numeric}","{data_type=number:} [^\d.][-Inf,Inf][.n]","{data_class=range:} [][-Inf,Inf][.n][split=""^\d.""]","same unit as estimate","A high-low numeric pair.","Reversed-order pair; as_range normalizes to _lo/_hi.","lower <= upper after normalize","character","no"
"number","range","confidence_interval","[1.2, 3.4]","[lo,hi]","as_range","{split}[_lo][_hi]","{default:numeric}","{data_type=number:} [^\d.][-Inf,Inf][.n]","{data_class=range:} [][-Inf,Inf][.n][split=""^\d.""]","same unit as estimate","A confidence interval.","A low-high interval around an estimate, with a confidence level.","confidence level declared","character","no"
"number","coordinate","lat_lon","40° 44' 55"" N, 74° 00' 22"" W","gcs:dms:latlon","as_coord(format=""gcs:dms"",val=""latlon"")","{split}[epsg:4326_lat=40.7128][epsg:4326_lon=-74.006]","{default:numeric}","{data_type=number:} [^\d.][-Inf,Inf][.n]","{data_class=coordinate:} [^\d.][-Inf,Inf][.n]","EPSG:4326","A lat/lon pair in degrees-minutes-seconds.","Sexagesimal coordinate pair, lat first; as_coord reprojects to WGS84 decimal degrees and splits.","valid dms ;; within CRS bounds","double","no"
"number","coordinate","lon_lat","74° 00' 22"" W, 40° 44' 55"" N","gcs:dms:lonlat","as_coord(format=""gcs:dms"",val=""lonlat"")","{split}[epsg:4326_lat=40.7128][epsg:4326_lon=-74.006]","{default:numeric}","{data_type=number:} [^\d.][-Inf,Inf][.n]","{data_class=coordinate:} [^\d.][-Inf,Inf][.n]","EPSG:4326","A lon/lat pair in degrees-minutes-seconds.","Sexagesimal pair, lon first (GeoJSON order); reprojected and split.","valid dms ;; within CRS bounds","double","no"
"number","coordinate","lat_lon","+40.7128-074.0060","iso:6709:latlon","as_coord(format=""iso:6709"",val=""latlon"")","{split}[epsg:4326_lat=40.7128][epsg:4326_lon=-74.006]","{default:numeric}","{data_type=number:} [^\d.][-Inf,Inf][.n]","{data_class=coordinate:} [^\d.][-Inf,Inf][.n]","EPSG:4326","A lat/lon pair in ISO 6709.","Compact signed-decimal pair; reprojected and split.","valid iso6709 ;; within CRS bounds","double","no"
"number","coordinate","lat","34.0522","epsg:4326:lat","as_coord(format=""epsg:4326"",val=""lat"")","34.0522","{default:numeric}","{data_type=number:} [^\d.][-Inf,Inf][.n]","{data_class=coordinate:} [^\d.][-Inf,Inf][.n]","EPSG:4326","A latitude.","Decimal-degree latitude (WGS84 by default).","in range -90..90","double","no"
"number","coordinate","lon","-118.2437","epsg:4326:lon","as_coord(format=""epsg:4326"",val=""lon"")","-118.2437","{default:numeric}","{data_type=number:} [^\d.][-Inf,Inf][.n]","{data_class=coordinate:} [^\d.][-Inf,Inf][.n]","EPSG:4326","A longitude.","Decimal-degree longitude (WGS84 by default).","in range -180..180","double","no"
"text","text","literal","40% ;; 02168 ;; (605) 348-9999 ;; www.usa.com","literal","{none}","40% ;; 02168 ;; (605) 348-9999 ;; www.usa.com","as_text","{data_type=text:} {none}","{data_class=text:} {none}","","Preserve raw data as-is.","The literal class imports raw data as text to protect original values; no formatting or cleaning is applied, whatever the value looks like.","none","character","yes"
"text","text","label","North wing ;; Draft","{none}","{none}","North wing ;; Draft","{default:character}","{data_type=text:} {none}","{data_class=text:} {none}","","A short human label.","A brief descriptive label (not a controlled category).","normalize case","character","no"
"text","text","title","Annual Report 2019","{none}","{none}","Annual Report 2019","{default:character}","{data_type=text:} {none}","{data_class=text:} {none}","","A title or heading.","A work or section title.","normalize capitalization ;; max length","character","no"
"text","text","long","The organization was founded in...","{none}","{none}","The organization was founded in...","{default:character}","{data_type=text:} {none}","{data_class=text:} {none}","","Long free text.","Multi-sentence notes or descriptions.","preserve line breaks ;; flag control characters","character","no"
"text","text","serialized","{a:1} ;; a|b|c","json;;xml;;delimited","as_serial(delim="":"")","c(""a"",""1"") ;; c(""a"",""b"",""c"")","as_list;;as_string","{data_type=text:} {none}","{data_class=text:} {none}","","Serialized text (JSON/XML/delimited).","Structured data carried as a string; promote to structured if parsed.","valid syntax","character","no"
"text","name","person","Doe, Jane ;; Jane Doe","Last, First;;First Last","{none}","Doe, Jane ;; Jane Doe","{default:character}","{data_type=text:} {none}","{data_class=name:} plain","","A person's name.","An individual's name; format notes the ordering convention.","flag digits","character","no"
"text","name","organization","AMERICAN LEGION ;; ROTARY INTERNATIONAL","plain","{none}","AMERICAN LEGION ;; ROTARY INTERNATIONAL","{default:character}","{data_type=text:} {none}","{data_class=name:} plain","","An organization's name.","A legal or organization name.","normalize suffixes (Inc;;LLC)","character","yes"
"text","name","place","Springfield ;; Cook County","plain","{none}","Springfield ;; Cook County","{default:character}","{data_type=text:} {none}","{data_class=name:} plain","","A place / geographic name.","A named place as free text (a geographic code is categorical.geographic).","reference-list lookup where categorical","character","no"
"text","name","handle","@JaneDoe ;; janedoe","handle:twitter","as_handle","janedoe ;; janedoe","{default:character}","{data_type=text:} {none}","{data_class=name:} plain","","A social / user handle.","An account handle; name-like as an attribute, promote to identifier when it keys the account. Platform in the format; @ stripped, lowercased.","platform charset & length","character","no"
"text","postal","street","5101 MONUMENT AVE","plain","{none}","5101 MONUMENT AVE","{default:character}","{data_type=text:} {none}","{data_class=postal:} plain","","A street address line.","The street line of a physical address.","street-suffix normalization","character","yes"
"text","postal","po_box","PO BOX 7002","plain","{none}","PO BOX 7002","{default:character}","{data_type=text:} {none}","{data_class=postal:} plain","","A PO box.","A post-office box address.","box-number present","character","yes"
"text","postal","full","4 COURT SQUARE, RICHMOND VA 23219","plain","{none}","4 COURT SQUARE, RICHMOND VA 23219","{default:character}","{data_type=text:} {none}","{data_class=postal:} plain","","A full postal address.","A complete one-line mailing address.","min component presence ;; postal-code consistency","character","yes"
"text","web","url","www.pets.com ;; http://pets.com","url","as_url","https://www.pets.com ;; https://pets.com","{default:character}","{data_type=text:} {none}","{data_class=web:} url;;domain;;ipv4;;mac","","A URL.","A web address; as_url adds scheme, lowercases host, normalizes www, drops trailing slash.","valid URI syntax ;; allowed schemes","character","yes"
"text","web","domain","Pets.com ;; www.example.org","domain","as_url","pets.com ;; www.example.org","{default:character}","{data_type=text:} {none}","{data_class=web:} url;;domain;;ipv4;;mac","","A domain / hostname.","A bare host name without scheme or path.","valid hostname ;; lowercase","character","no"
"text","web","ip","192.168.0.1 ;; ::1","ipv4;;ipv6","{none}","192.168.0.1 ;; ::1","{default:character}","{data_type=text:} {none}","{data_class=web:} url;;domain;;ipv4;;mac","","An IP address.","An IPv4 or IPv6 network address.","valid address pattern ;; canonical form","character","yes"
"text","web","mac","01:23:45:67:89:ab","mac","{none}","01:23:45:67:89:ab","{default:character}","{data_type=text:} {none}","{data_class=web:} url;;domain;;ipv4;;mac","","A MAC address.","A hardware MAC address.","valid MAC pattern ;; canonical form","character","yes"
"text","contact","email","Jane@Example.ORG","email","as_email","jane@example.org","{default:character}","{data_type=text:} {none}","{data_class=contact:} email;;E.164","","An email address.","An RFC-style email address; as_email lowercases the domain.","email pattern ;; lowercase domain","character","yes"
"text","contact","phone","(605) 348-9999 ;; +44 20 7946 0958","national;;E.164","as_phone","+16053489999 ;; +442079460958","{default:character}","{data_type=text:} {none}","{data_class=contact:} email;;E.164","","A phone number.","A telephone number; as_phone normalizes to E.164. No single canonical display form.","valid phone pattern ;; country-code consistency","character","yes"
"text","color","hex","#1A2B3C ;; 1a2b3c","hex","as_hex","#1A2B3C ;; #1A2B3C","{default:character}","{data_type=text:} {none}","{data_class=color:} hex;;rgb;;hsl;;cmyk","","A hex color.","A #RRGGBB color; as_hex adds # and uppercases.","valid hex ;; 3 or 6 digits","character","yes"
"text","color","rgb","rgb(255,0,0)","rgb","{none}","rgb(255,0,0)","{default:character}","{data_type=text:} {none}","{data_class=color:} hex;;rgb;;hsl;;cmyk","","An RGB triple.","Red-green-blue channels 0-255.","channel range 0-255","character","yes"
"text","color","hsl","hsl(0,100%,50%)","hsl","{none}","hsl(0,100%,50%)","{default:character}","{data_type=text:} {none}","{data_class=color:} hex;;rgb;;hsl;;cmyk","","An HSL triple.","Hue-saturation-lightness.","valid hsl ranges","character","yes"
"text","color","cmyk","cmyk(0,1,1,0)","cmyk","{none}","cmyk(0,1,1,0)","{default:character}","{data_type=text:} {none}","{data_class=color:} hex;;rgb;;hsl;;cmyk","","A CMYK quadruple.","Cyan-magenta-yellow-key 0-1.","channel range 0-1","character","yes"
"categorical","mutually_exclusive","unordered","M ;; F ;; F","code","as_factor","M ;; F ;; F","as_factor","{data_type=categorical:} code;;label","{data_class=mutually_exclusive:} code;;label;;code=label","","An unordered (nominal) category.","Levels with no meaningful order; labels held in dd_f_levels.","allowed levels ;; unexpected-level check","factor","yes"
"categorical","mutually_exclusive","ordered","1 ;; 2 ;; 3","code","as_ordered","1 ;; 2 ;; 3","as_ordered","{data_type=categorical:} code;;label","{data_class=mutually_exclusive:} code;;label;;code=label","","An ordered (ordinal) category without intervals.","Order carried by the order field in dd_f_levels.","order declared ;; monotonic coding","ordered factor","yes"
"categorical","mutually_exclusive","geographic","CA ;; 06037","usps:state;;fips:county","as_factor","CA ;; 06037","as_factor","{data_type=categorical:} code;;label","{data_class=mutually_exclusive:} code;;label;;code=label","geographic level","A geographic grouping.","A geography used as a grouping variable; format defers to geographic tokens. Promoted to identifier.id.geographic when near-unique.","reference-list lookup ;; hierarchy consistency","factor","yes"
"categorical","mutually_exclusive","classification_code","5417 ;; 541511","class:naics","as_factor","5417 ;; 541511","as_factor","{data_type=categorical:} code;;label","{data_class=mutually_exclusive:} code;;label;;code=label","classification system & level","A classification-system code.","A code from a standard classification (NAICS, ICD); format = class:<system>.","valid code & vintage ;; parent-child consistency","factor","yes"
"categorical","mutually_exclusive","missingness_reason","Refused ;; N/A","label","as_factor","Refused ;; Not applicable","as_factor","{data_type=categorical:} code;;label","{data_class=mutually_exclusive:} code;;label;;code=label","missingness categories","A reason-for-missing code.","Categories explaining why a value is missing; kept separate from substantive values.","mutually exclusive ;; separate from substantive values","factor","no"
