"semantic_type_id","variant_id","node_label","version_added","version_deprecated","superseded_by","change_note","examples","match_kind","data_type","semantic_family","semantic_type","format_label","data_format","raw_to_stable_transform","stable_format","stable_import_rule","data_format_default_type","data_format_default_family","dd_data_unit","short_desc","detail","validation","default_storage","implemented"
"n0001","n0001-f01","NUM-QUA-n0001-f01","v4","","","","72.5 ;; 98.6 ;; -4.2","shape","number","quantity","measurement","measurement","{{ [range:-Inf,Inf][dec:.n] }}","{{ none }}","72.5 ;; 98.6 ;; -4.2","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [range:-Inf,Inf][dec:.n] }}","unit-specific (kg;;m;;C;;L)","A measured value on a unit scale.","A continuous measurement; unit kept in dd_data_unit.","unit declared ;; plausible range ;; precision","double","no"
"n0002","n0002-f01","NUM-QUA-n0002-f01","v4","","","","0 ;; 1 ;; 42.00","shape","number","quantity","count","count","{{ [range:0,Inf][dec:.0] }}","{{ as_integer }}","{{ as_integer }} 0 ;; 1 ;; 42","{{ as_integer }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [range:-Inf,Inf][dec:.n] }}","","A count of things.","A non-negative whole tally. Range [0,Inf] with .0 precision (integer).","whole number ;; >= 0","integer","no"
"n0003","n0003-f01","NUM-QUA-n0003-f01","v4","","","","12.4 ;; 0.03","shape","number","quantity","rate","rate","{{ [range:0,Inf][dec:.n] }}","{{ none }}","12.4 ;; 0.03","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [range:-Inf,Inf][dec:.n] }}","per capita;;per 1,000;;per year","An amount per unit of exposure or time.","A quantity normalized by a denominator or period.","denominator & period declared ;; nonnegative where applicable","double","no"
"n0004","n0004-f01","NUM-QUA-n0004-f01","v4","","","","1.5 ;; 0.75","shape","number","quantity","ratio","ratio","{{ [range:0,Inf][dec:.n] }}","{{ none }}","1.5 ;; 0.75","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [range:-Inf,Inf][dec:.n] }}","numerator/denominator","A ratio of two quantities.","Numerator over denominator; denominator nonzero.","denominator nonzero ;; parsing convention declared","double","no"
"n0005","n0005-f01","NUM-QUA-n0005-f01","v4","","","","3.5 ;; 120","shape","number","quantity","duration","duration","{{ [range:0,Inf][dec:.n] }}","{{ none }}","3.5 ;; 120","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [range:-Inf,Inf][dec:.n] }}","seconds;;minutes;;hours;;days;;years","An elapsed amount of time as a number.","A length of time as a numeric magnitude; unit in dd_data_unit.","unit declared ;; nonnegative where applicable","double","no"
"n0006","n0006-f01","NUM-QUA-n0006-f01","v4","","","","85 ;; 4.5","shape","number","quantity","score","score","{{ [range:0,Inf][dec:.n] }}","{{ none }}","85 ;; 4.5","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [range:-Inf,Inf][dec:.n] }}","scale points","A score on a defined scale.","Points on an instrument or test.","allowed range ;; permitted increments ;; scale direction","double","no"
"n0007","n0007-f01","NUM-QUA-n0007-f01","v4","","","","100 ;; 118.2","shape","number","quantity","index","index","{{ [range:-Inf,Inf][dec:.n] }}","{{ none }}","100 ;; 118.2","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [range:-Inf,Inf][dec:.n] }}","index-specific scale","A constructed index relative to a base.","A composite indicator with a documented base period.","base-period & directionality documented ;; expected range","double","no"
"n0008","n0008-f01","NUM-QUA-n0008-f01","v4","","","","1 ;; 2.5 ;; 17","shape","number","quantity","rank","rank","{{ [range:1,Inf][dec:.0] }}","{{ as_rank }}","{{ as_rank }} 1 ;; 2 ;; 17","{{ as_integer }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [range:-Inf,Inf][dec:.n] }}","rank position","An ordinal rank position.","Integer position within an ordering.","positive integer ;; bounded by group size","integer","no"
"n0009","n0009-f01","NUM-CUR-n0009-f01","v4","","","","2300.00 ;; 1,234 ;; -45.10","mask","number","currency","balance","balance","{{ [range:-Inf,Inf][dec:.2] }}","{{ as_currency }}","{{ as_currency }} 2300.00 ;; 1234.00 ;; -45.10","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.2] }}","USD","A signed account balance.","A monetary balance that may be negative.","sign allowed ;; accounting reconciliation","double","no"
"n0010","n0010-f01","NUM-CUR-n0010-f01","v4","","","","$-45 ;; $2300.00 ;; 17,298$","mask","number","currency","usd","usd","{{ [strip:$,][range:-Inf,Inf][dec:.2] }}","{{ as_usd }}","{{ as_usd }} -45.00 ;; 2300.00 ;; 17298.00","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.2] }}","USD","A US-dollar amount.","Dollar money; symbol and grouping stripped to a number.","sign allowed ;; accounting reconciliation","double","no"
"n0011","n0011-f01","NUM-CUR-n0011-f01","v4","","","","2300,00€ ;; € 17.298 ;; -45€","mask","number","currency","euro","euro","{{ [strip:€.][range:-Inf,Inf][dec:,2] }}","{{ as_euro }}","{{ as_euro }} 2300.00 ;; 17298.00 ;; -45.00","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.2] }}","EUR","A euro amount (European format).","Euro money, dot-thousands / comma-decimal; symbol and grouping stripped.","sign allowed ;; accounting reconciliation","double","no"
"n0012","n0012-f01","NUM-POR-n0012-f01","v4","","","","0.05 ;; 0.5","shape","number","portion","probability","probability","{{ [range:0,1][dec:.n] }}","{{ none }}","0.05 ;; 0.5","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:%][range:0,Inf][dec:.n] }}","","A probability (0-1).","A likelihood bounded to the unit interval.","min 0 ;; max 1","double","no"
"n0013","n0013-f01","NUM-POR-n0013-f01","v4","","","","1:5 ;; 8:7","shape","number","portion","odds","odds","{{ odds_ratio }}","{{ as_probability }}","0.1667 ;; 0.5333","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:%][range:0,Inf][dec:.n] }}","","Odds expressed as a ratio.","Favorable:unfavorable; as_probability converts to 0-1.","two nonnegative parts ;; converts to 0-1","double","no"
"n0014","n0014-f01","NUM-POR-n0014-f01","v4","","","","40 ;; 12.5 ;; 40%","shape","number","portion","percent","percent","{{ [strip:%][range:0,100][dec:.n] }}","{{ as_percent }}","{{ as_percent }} 40 ;; 12.5 ;; 40","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:%][range:0,Inf][dec:.n] }}","","A percentage (0-100).","A proportion on a 0-100 scale; as_percent strips a trailing %.","min 0 ;; max 100","double","no"
"n0015","n0015-f01","NUM-POR-n0015-f01","v4","","","","90 ;; 50 ;; 99th","shape","number","portion","percentile","percentile","{{ [strip:^0-9.][range:0,100][dec:.0] }}","{{ as_number }}","90 ;; 50 ;; 99","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:%][range:0,Inf][dec:.n] }}","percentile 0-100","A percentile position (0-100).","Rank against a reference population; strips ordinal suffixes.","min 0 ;; max 100 ;; population declared","double","no"
"n0016","n0016-f01","NUM-RAN-n0016-f01","v4","","","","1.2, 3.4","mask","number","range","min_max","comma_pair","{{ lo,hi }}","{{ as_range }}","{{ split:[_lo][_hi] }}","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [range:-Inf,Inf][dec:.n][split:^0-9.] }}","same unit as estimate","A low-high numeric pair.","Two numeric bounds in one field; split into _lo and _hi.","lower <= upper ;; unit consistency","character","no"
"n0016","n0016-f02","NUM-RAN-n0016-f02","v4","","","","20 to 10","mask","number","range","min_max","to_range","{{ hi to lo }}","{{ as_range }}","{{ split:[_lo][_hi] }}","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [range:-Inf,Inf][dec:.n][split:^0-9.] }}","same unit as estimate","A high-low numeric pair.","Reversed-order pair; as_range normalizes to _lo/_hi.","lower <= upper after normalize","character","no"
"n0017","n0017-f01","NUM-RAN-n0017-f01","v4","","","","[1.2, 3.4]","mask","number","range","confidence_interval","confidence_interval","{{ [lo,hi] }}","{{ as_range }}","{{ split:[_lo][_hi] }}","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [range:-Inf,Inf][dec:.n][split:^0-9.] }}","same unit as estimate","A confidence interval.","A low-high interval around an estimate, with a confidence level.","confidence level declared","character","no"
"n0018","n0018-f01","NUM-COO-n0018-f01","v4","","","","40° 44' 55"" N, 74° 00' 22"" W","mask","number","coordinate","lat_lon","dms","{{ gcs:dms:latlon }}","{{ as_coord[from:gcs:dms][order:latlon] }}","{{ split:[epsg:4326_lat=40.7128][epsg:4326_lon=-74.006] }}","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","EPSG:4326","A lat/lon pair in degrees-minutes-seconds.","Sexagesimal pair, lat first; as_coord reprojects to WGS84 decimal degrees and splits.","valid dms ;; within CRS bounds","double","no"
"n0018","n0018-f02","NUM-COO-n0018-f02","v4","","","","-33.2932","mask","number","coordinate","lat_lon","iso6709","{{ iso:6709:latlon }}","{{ as_coord[from:iso:6709][order:latlon] }}","{{ split:[epsg:4326_lat=40.7128][epsg:4326_lon=-74.006] }}","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","EPSG:4326","A lat/lon pair in ISO 6709.","Compact signed-decimal pair; reprojected and split.","valid iso6709 ;; within CRS bounds","double","no"
"n0019","n0019-f01","NUM-COO-n0019-f01","v4","","","","74° 00' 22"" W, 40° 44' 55"" N","mask","number","coordinate","lon_lat","lon_lat","{{ gcs:dms:lonlat }}","{{ as_coord[from:gcs:dms][order:lonlat] }}","{{ split:[epsg:4326_lat=40.7128][epsg:4326_lon=-74.006] }}","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","EPSG:4326","A lon/lat pair in degrees-minutes-seconds.","Sexagesimal pair, lon first (GeoJSON order); reprojected and split.","valid dms ;; within CRS bounds","double","no"
"n0020","n0020-f01","NUM-COO-n0020-f01","v4","","","","34.0522","mask","number","coordinate","lat","lat","{{ epsg:4326:lat }}","{{ as_coord[from:epsg:4326][axis:lat] }}","34.0522","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","EPSG:4326","A latitude.","Decimal-degree latitude (WGS84 by default).","in range -90..90","double","no"
"n0021","n0021-f01","NUM-COO-n0021-f01","v4","","","","-118.2437","mask","number","coordinate","lon","lon","{{ epsg:4326:lon }}","{{ as_coord[from:epsg:4326][axis:lon] }}","-118.2437","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","EPSG:4326","A longitude.","Decimal-degree longitude (WGS84 by default).","in range -180..180","double","no"
"n0022","n0022-f01","TXT-TEX-n0022-f01","v4","","","","40% ;; 02168 ;; (605) 348-9999 ;; www.usa.com","none","text","text","literal","literal","{{ literal }}","{{ none }}","40% ;; 02168 ;; (605) 348-9999 ;; www.usa.com","{{ as_text }}","{{ none }}","{{ none }}","","Preserve raw data as-is.","The literal class imports raw data as text to protect original values; no formatting or cleaning, whatever the value looks like.","none","character","yes"
"n0023","n0023-f01","TXT-TEX-n0023-f01","v4","","","","North wing ;; Draft","none","text","text","label","label","{{ none }}","{{ none }}","North wing ;; Draft","{{ default:character }}","{{ none }}","{{ none }}","","A short human label.","A brief descriptive label (not a controlled category).","normalize case","character","no"
"n0024","n0024-f01","TXT-TEX-n0024-f01","v4","","","","Annual Report 2019","none","text","text","title","title","{{ none }}","{{ none }}","Annual Report 2019","{{ default:character }}","{{ none }}","{{ none }}","","A title or heading.","A work or section title.","normalize capitalization ;; max length","character","no"
"n0025","n0025-f01","TXT-TEX-n0025-f01","v4","","","","The organization was founded in...","none","text","text","long","long","{{ none }}","{{ none }}","The organization was founded in...","{{ default:character }}","{{ none }}","{{ none }}","","Long free text.","Multi-sentence notes or descriptions.","preserve line breaks ;; flag control characters","character","no"
"n0026","n0026-f01","TXT-TEX-n0026-f01","v4","","","","{a:1} ;; a|b|c","none","text","text","serialized","serialized","{{ json ;; xml ;; delimited }}","{{ as_serial[delim::] }}","c(""a"",""1"") ;; c(""a"",""b"",""c"")","{{ as_list ;; as_string }}","{{ none }}","{{ none }}","","Serialized text (JSON/XML/delimited).","Structured data carried as a string; promote to structured if parsed.","valid syntax","character","no"
"n0027","n0027-f01","TXT-NAM-n0027-f01","v6","","","","James ;; Mary","lexicon","text","name","person","first_name","{{ lexicon:given_name }}","lookup:given","given_name","{{ default:character }}","{{ none }}","{{ plain }}","","A person's name.","An individual's name; format notes the ordering convention.","flag digits","character","no"
"n0027","n0027-f02","TXT-NAM-n0027-f02","v6","","","","Smith ;; Garcia","lexicon","text","name","person","last_name","{{ lexicon:surname }}","lookup:surname","surname","{{ default:character }}","{{ none }}","{{ plain }}","","A person's name.","An individual's name; format notes the ordering convention.","flag digits","character","no"
"n0027","n0027-f03","TXT-NAM-n0027-f03","v6","","","","Jane Doe ;; Doe, Jane","mask+lexicon","text","name","person","full_name","{{ First Last ;; Last, First }}","split+order","first_last","{{ default:character }}","{{ none }}","{{ plain }}","","A person's name.","An individual's name; format notes the ordering convention.","flag digits","character","no"
"n0028","n0028-f01","TXT-NAM-n0028-f01","v4","","","","AMERICAN LEGION ;; ROTARY INTERNATIONAL","lexicon","text","name","organization","organization","{{ plain }}","{{ none }}","AMERICAN LEGION ;; ROTARY INTERNATIONAL","{{ default:character }}","{{ none }}","{{ plain }}","","An organization's name.","A legal or organization name.","normalize suffixes (Inc;;LLC)","character","yes"
"n0029","n0029-f01","TXT-NAM-n0029-f01","v4","","","","Springfield ;; Cook County","lexicon","text","name","place","place","{{ plain }}","{{ none }}","Springfield ;; Cook County","{{ default:character }}","{{ none }}","{{ plain }}","","A place / geographic name.","A named place as free text (a geographic code is categorical.geographic).","reference-list lookup where categorical","character","no"
"n0030","n0030-f01","TXT-NAM-n0030-f01","v4","","","","@JaneDoe ;; janedoe","lexicon","text","name","handle","handle","{{ handle:twitter }}","{{ as_handle }}","janedoe ;; janedoe","{{ default:character }}","{{ none }}","{{ plain }}","","A social / user handle.","An account handle; promote to identifier when it keys the account. Platform in the token; @ stripped, lowercased.","platform charset & length","character","no"
"n0031","n0031-f01","TXT-POS-n0031-f01","v4","","","","5101 MONUMENT AVE","mask+lexicon","text","postal","street","street","{{ plain }}","{{ none }}","5101 MONUMENT AVE","{{ default:character }}","{{ none }}","{{ plain }}","","A street address line.","The street line of a physical address.","street-suffix normalization","character","yes"
"n0032","n0032-f01","TXT-POS-n0032-f01","v4","","","","PO BOX 7002","mask+lexicon","text","postal","po_box","po_box","{{ plain }}","{{ none }}","PO BOX 7002","{{ default:character }}","{{ none }}","{{ plain }}","","A PO box.","A post-office box address.","box-number present","character","yes"
