"Type","Example","Recall","S1","S2","S3","SP"
"currency code (ISO 4217 lookup)","AUD;; CAD;; CNY",1,0.0106837606837607,0.0106837606837607,0.00603621730382294,NA
"currency symbol + amount (regex, max 2 decimals)","$12.30;; €299.10;; ¥19",1,1,0.256818181818182,0.0130718954248366,0.0491803278688525
"currency code + symbol + amount (regex + lookup)","USD$12.30;; EUR€299.10;; USD$1",1,0.0288065843621399,0.00804828973843058,0,0.0189873417721519
"email address","cjudgkins0@de.vu;; csoutar1@bigcartel.com;; afeavearyear2@skype.com",1,0.68,0.15,0.01,0.4337899543379
"URL (http/https/ftp)","http://ezproxy.baylor.edu/;; https://www.ezproxy.unibo.it/;; http://ezproxy.anzca.edu.au/",1,0.0666666666666667,0.01,0,0.0338983050847458
"IPv4 address","54.219.219.166;; 49.200.88.156;; 189.7.190.3",1,0.421232876712329,0.0766666666666667,0.00333333333333333,0.0596330275229358
"IPv6 address","89a4:e654:d143:d1d0:b986:73e4:c8e1:4710;; f385:9ac0:aede:bb7e:a620:b2a5:dd6b:ebfb;; 4f:45b6:3366:d336:e41b:8df4:696:e02",1,1,0.005,0,0
"MAC address","40-1F-3C-B6-3C-BC;; 1E-42-64-5E-54-69;; 1F-9C-F0-33-2E-E5",1,1,0.025,0,0
"hex color (#RRGGBB)","#4d9cf8;; #1f3a8e;; #eac3aa",1,1,0.439862542955326,0.0238095238095238,0
"RGB triple (0-255)","220,220,220;; 255,250,250;; 253,245,245",1,0.314741035856574,0.0703125,0.00386100386100386,0.0347222222222222
"HSL triple (H, S%, L%)","195, 100%, 27%;; 195, 100%, 47%;; 196, 60%, 49%",1,0.506493506493506,0,0,0.038961038961039
"CMYK quadruple (0-1)","0.0,0.31,0.37,0.0;; 0.0,0.52,1.0,0.64;; 0.35,0.0,0.25,0.0",1,0.0970464135021097,0,0,0.00925925925925926
"MD5 digest (32 hex)","6e8a6448a62364225da9991fd8e1ef8c;; 3df4ffb6eb24fffab3763041f13dbdea;; b205e37bafd229efeb6345565ce428a0",1,1,1,0,NA
"SHA-1 digest (40 hex)","16de70e8fcd093964a448a86bc89b1c607152ead;; efb6759998e36322258c172aa7e8ba6416b3235f;; f1d48e18f51de36d01bafab5bfa68d16a8c0192b",1,1,1,0,NA
"SHA-256 digest (64 hex)","96a162ea0e727b109724d95fa66659aacc2f5a1478c12bb779aa9c1fbd510450;; 59d3b1aafad9d120e6df4a1a6ae6b5edf006be7a044e646b63a9feb8e909c900;; 18f778c3525b95d98292595ebd8a0c5ac31bfb6cddeafefff04089468e304b96",1,1,1,0,NA
"GUID / UUID","f2a59360-1d1a-49e8-9a2f-f9cdf0d5a811;; 5ff3cc50-709c-4ba2-88a7-a2e4cca9f32c;; 241c3e6c-1aa5-41c6-bbac-8ad08bdfcde9",1,1,0.035,0,0
"Ensembl gene/transcript ID","ENSMUSG00000102659;; ENSMUSG00000093178;; ENST00000407559",1,0,0,0,NA
"UniProt accession","P33667;; P17888;; P02338",1,0.31063829787234,0.31063829787234,0.0170212765957447,NA
"ICD-9 code","078.11;; 008.8;; 005.9",1,0.65158371040724,0.293617021276596,0.0128205128205128,0
"ICD-10 code","I61;; I63;; G45",1,0.39906103286385,0.242290748898678,0.0358744394618834,0
"dbSNP reference SNP ID","rs3918290;; rs1801159;; rs1801265",1,0.139240506329114,0.139240506329114,0,NA
"Amazon ASIN","B01L7DYXL0;; B0065RHC2Q;; B004M8T1XS",1,0.2625,0.2625,0.0125,NA
"ADS bibcode","2004PASP..116...98K;; 2003ApJ...597..957H;; 2003A&A...405..175M",1,0.175,0.179166666666667,0.0166666666666667,0.52112676056338
"Roman numeral","I;; II;; III",1,0.248322147651007,0.248322147651007,0.0103448275862069,NA
"HTTP status code","100;; 101;; 200",1,0.700534759358289,0.700534759358289,0.0154320987654321,NA
"Unix timestamp (seconds)","1513036980;; 1503296497;; 1451638800",1,0.995833333333333,0.995833333333333,0.00416666666666667,NA
"US ZIP code","98052;; 15206;; 32792",1,1,0.742574257425743,0.0191693290734824,0
"UK postcode","SA43 2BU;; PO12 2DU;; KA20 3LN",1,0.258474576271186,0.109243697478992,0.0458333333333333,0
"Canadian postal code / FSA","V5K;; K0H;; T4A",1,0.279411764705882,0.232673267326733,0.152380952380952,0
